date,tot-value,vol,sharpe,pnl-pt
1981-02-26,1000.000000,0.000000,0.000000,0.000000
1981-02-27,1001.138141,0.000285,1.736154,0.284535
1981-03-02,1001.668470,0.000122,5.933475,0.278078
1981-03-03,1001.635880,0.000000,0.000000,0.204485
1981-03-04,1000.488597,0.000199,1.064250,0.048860
1981-03-05,1011.567109,0.001814,2.752855,0.963926
1981-03-06,1028.788007,0.002676,4.605491,2.056286
1981-03-09,1017.200417,0.001588,4.663733,1.075026
1981-03-10,1019.044311,0.000291,28.188660,1.058017
1981-03-11,1026.268891,0.000059,142.800744,1.382573
1981-03-12,1028.927623,0.000055,155.874071,1.446381
1981-03-13,1034.749110,0.000187,49.515961,1.654720
1981-03-16,1044.201579,0.000400,26.900560,2.009163
1981-03-17,1100.518314,0.002731,7.807846,4.370361
1981-03-18,1100.518314,0.000000,0.000000,4.188263
1981-03-19,1096.784106,0.000242,84.141429,3.871364
1981-03-20,1104.739421,0.000573,39.728591,4.028439
1981-03-23,1079.237209,0.002090,6.531513,2.934711
1981-03-24,1074.691605,0.000413,28.579649,2.667557
1981-03-25,1060.212620,0.001450,3.559248,2.076297
1981-03-26,1018.899752,0.004718,-3.596874,0.629992
1981-03-27,1024.379831,0.000672,-20.456310,0.786446
1981-03-30,1064.082977,0.004847,2.062771,2.002593
1981-03-31,1022.575700,0.005546,-3.197213,0.684112
1981-04-01,997.408088,0.003726,-9.858053,-0.076233
1981-04-02,964.173524,0.005463,-11.920117,-1.023614
1981-04-03,936.120349,0.005093,-18.078652,-1.774435
1981-04-06,958.005310,0.004038,-17.416992,-1.134992
1981-04-07,958.005310,0.000000,0.000000,-1.105123
1981-04-08,988.994427,0.005758,-6.645429,-0.282194
1981-04-09,988.994427,0.000000,-461972854666147.100000,-0.275139
1981-04-10,964.189040,0.005002,-13.394890,-0.873438
1981-04-13,989.793575,0.005169,-7.131558,-0.243010
1981-04-14,1015.950111,0.005147,-1.245514,0.370933
1981-04-15,1006.994483,0.001808,-9.545637,0.158966
