gvkey,datadate,conm,ipodate,rdq,datacqtr,datafqtr,cusip,cik,TICKER,sic,addzip,exchg,fic,icaptq,atq,ltq,saleq,revtq,cogsq,xsgaq,oibdpq,oiadpq,ibq,txditcq,txdbq,itccy,oancfy,ivncfy,fincfy,sstky,prstkcy,dltisy,dltry,actq,lctq,invtq,dlcq,dlttq,mibq,mibtq,cheq,rectq,seqq,ceqq,niq,dpcy,dpq,wcapchy,capxy,sppey,xintq,ppentq,loq,xrdq,pstkrq,pstkq,cshoq,prccq,itccq,oancfq,ivncfq,fincfq,sstkq,prstkcq,dltisq,dltrq,dpcq,wcapchq,capxq,sppeq
4839,2002/6/30,FORD MOTOR CO,,2002/7/17,2002.25,2002.25,345370860,37996,F,3711,48126,11,USA,180479.0,290291.0,280297.0,42207.0,42207.0,30963.0,4350.0,6894.0,3072.0,619.0,10483.0,,,12875.0,-746.0,-6568.0,92.0,,17591.0,14672.0,,,7522.0,,170485.0,,,28048.0,116564.0,9994.0,9994.0,570.0,,3822.0,,3238.0,,2221.0,82092.0,50127.0,,0.0,0.0,1822.878,16.0,,7168.0,-7289.0,-3169.0,,,4441.0,5668.0,,,1520.0,
6066,2002/6/30,INTL BUSINESS MACHINES CORP,,2002/7/17,2002.25,2002.25,459200101,51143,IBM,7370,10504,11,USA,37665.0,84211.0,62816.0,19651.0,19651.0,10932.0,5236.0,3483.0,2034.0,445.0,,,,5356.0,-2518.0,-5842.0,,2960.0,1806.0,1819.0,36723.0,32597.0,3842.0,9571.0,16270.0,,,3567.0,24874.0,21395.0,21395.0,56.0,2701.0,1449.0,,2061.0,,33.0,14712.0,13949.0,1196.0,0.0,0.0,1694.3239999999998,72.0,,2701.0,-1061.0,-2164.0,,1525.0,828.0,1450.0,1534.0,,950.0,
1690,2002/9/30,APPLE INC,1980/12/12,2002/10/16,2002.5,2002.75,37833100,320193,AAPL,3663,95014,14,USA,4411.0,6298.0,2203.0,1443.0,1443.0,1029.0,396.0,18.0,-15.0,-45.0,229.0,,,89.0,-252.0,105.0,105.0,0.0,0.0,0.0,5388.0,1658.0,45.0,0.0,316.0,0.0,0.0,4337.0,565.0,4095.0,4095.0,-45.0,118.0,33.0,,174.0,0.0,2.0,621.0,0.0,117.0,0.0,0.0,358.959,14.5,,82.0,908.0,16.0,16.0,0.0,0.0,0.0,33.0,,64.0,0.0
4839,2002/9/30,FORD MOTOR CO,,2002/10/16,2002.5,2002.5,345370860,37996,F,3711,48126,11,USA,177846.0,285696.0,275726.0,39338.0,39338.0,29343.0,4439.0,5556.0,1801.0,-244.0,10781.0,,,18290.0,-689.0,-8939.0,196.0,,19195.0,13951.0,,,7504.0,,167876.0,,,32210.0,112237.0,9970.0,9970.0,-326.0,,3755.0,,5087.0,,2208.0,79501.0,49884.0,,0.0,0.0,1835.1070000000002,9.8,,5415.0,57.0,-2371.0,104.0,,1604.0,-721.0,,,1849.0,
6066,2002/9/30,INTL BUSINESS MACHINES CORP,,2002/10/16,2002.5,2002.5,459200101,51143,IBM,7370,10504,11,USA,39865.0,83956.0,61864.0,19821.0,19821.0,11582.0,5200.0,3039.0,2123.0,1694.0,,,,8827.0,-3304.0,-6731.0,,3327.0,3969.0,3983.0,37316.0,30239.0,3424.0,7971.0,17773.0,,,5222.0,24204.0,22092.0,22092.0,1313.0,3782.0,916.0,,2851.0,,34.0,14451.0,13852.0,1213.0,0.0,0.0,1690.088,58.31,,3471.0,-786.0,-889.0,,367.0,2163.0,2164.0,1081.0,,790.0,
1690,2003/12/31,APPLE INC,1980/12/12,2004/1/14,2003.75,2004.0,37833100,320193,AAPL,3663,95014,14,USA,4330.0,6971.0,2641.0,2006.0,2006.0,1437.0,462.0,107.0,74.0,63.0,,,,219.0,77.0,32.0,32.0,0.0,0.0,0.0,6029.0,2382.0,89.0,302.0,0.0,0.0,0.0,4791.0,787.0,4330.0,4330.0,63.0,33.0,33.0,,44.0,0.0,2.0,684.0,259.0,119.0,0.0,0.0,368.76099999999997,21.37,,219.0,77.0,32.0,32.0,0.0,0.0,0.0,33.0,,44.0,0.0
4839,2003/12/31,FORD MOTOR CO,,2004/1/22,2003.75,2003.75,345370860,37996,F,3711,48126,11,USA,132061.0,304594.0,292284.0,46059.0,46059.0,40524.0,4841.0,,694.0,-660.0,8439.0,,,20195.0,-6325.0,-5132.0,9.0,,23086.0,28780.0,,,9181.0,60053.0,119751.0,659.0,659.0,38687.0,113614.0,11651.0,11651.0,-793.0,14297.0,,,7749.0,,1971.0,75457.0,54030.0,,0.0,0.0,1831.389,16.0,,652.0,-5949.0,-1128.0,,,5865.0,4918.0,,,1910.0,
6066,2003/12/31,INTL BUSINESS MACHINES CORP,,2004/1/15,2003.75,2003.75,459200101,51143,IBM,7370,10504,11,USA,44850.0,104457.0,76593.0,25913.0,25913.0,14770.0,6214.0,4929.0,3877.0,2716.0,1834.0,,,14407.0,-5122.0,-7798.0,,3232.0,1573.0,5831.0,44998.0,37900.0,2942.0,6646.0,16986.0,,,7647.0,28923.0,27864.0,27864.0,2709.0,4701.0,1052.0,,4393.0,1039.0,151.0,14689.0,19873.0,1349.0,0.0,0.0,1694.509,92.68,,4754.0,-606.0,-2528.0,,2612.0,275.0,611.0,1232.0,,1950.0,
1690,2003/3/31,APPLE INC,1980/12/12,2003/4/16,2003.0,2003.25,37833100,320193,AAPL,3663,95014,14,USA,4139.0,6361.0,2222.0,1475.0,1475.0,1028.0,419.0,28.0,-1.0,14.0,,,,208.0,934.0,16.0,16.0,0.0,0.0,0.0,5468.0,2007.0,41.0,310.0,0.0,0.0,0.0,4526.0,621.0,4139.0,4139.0,14.0,62.0,29.0,,60.0,0.0,2.0,619.0,215.0,119.0,0.0,0.0,365.545,14.14,,98.0,697.0,3.0,3.0,0.0,0.0,0.0,30.0,,40.0,0.0
4839,2003/3/31,FORD MOTOR CO,,2003/4/16,2003.0,2003.0,345370860,37996,F,3711,48126,11,USA,171412.0,289324.0,282592.0,40815.0,40815.0,33608.0,4079.0,,3128.0,901.0,14370.0,,,7805.0,2392.0,-3343.0,,22.0,3952.0,10718.0,,,7953.0,,164680.0,,,36552.0,95061.0,6732.0,6732.0,896.0,,,,1496.0,,1957.0,75691.0,55786.0,,0.0,0.0,1830.336,7.52,,7805.0,2392.0,-3343.0,,22.0,3952.0,10718.0,,,1496.0,
6066,2003/3/31,INTL BUSINESS MACHINES CORP,,2003/4/14,2003.0,2003.0,459200101,51143,IBM,7370,10504,11,USA,44609.0,95720.0,71147.0,20065.0,20065.0,11764.0,5410.0,2891.0,1951.0,1387.0,,,,2153.0,-2675.0,-689.0,305.0,,200.0,640.0,39737.0,31786.0,3318.0,5767.0,20036.0,,,5577.0,25784.0,24573.0,24573.0,1384.0,1116.0,940.0,,658.0,,172.0,14363.0,19325.0,1195.0,0.0,0.0,1728.0,78.43,,2153.0,-2675.0,-689.0,305.0,,200.0,640.0,1116.0,,658.0,
1690,2003/6/30,APPLE INC,1980/12/12,2003/7/16,2003.25,2003.5,37833100,320193,AAPL,3663,95014,14,USA,4198.0,6441.0,2243.0,1545.0,1545.0,1093.0,419.0,33.0,9.0,19.0,,,,216.0,1008.0,31.0,31.0,0.0,0.0,0.0,5546.0,2025.0,38.0,307.0,0.0,0.0,0.0,4545.0,674.0,4198.0,4198.0,19.0,93.0,24.0,,106.0,0.0,2.0,639.0,218.0,120.0,0.0,0.0,366.99300000000005,19.06,,8.0,74.0,15.0,15.0,0.0,0.0,0.0,31.0,,46.0,0.0
4839,2003/6/30,FORD MOTOR CO,,2003/7/16,2003.25,2003.25,345370860,37996,F,3711,48126,11,USA,183191.0,306189.0,298105.0,40491.0,40491.0,33878.0,4321.0,,2292.0,441.0,14475.0,,,13822.0,-3039.0,-5764.0,,3.0,8545.0,12943.0,,,8448.0,,175107.0,,,37323.0,111757.0,8084.0,8084.0,417.0,,,,3533.0,,1801.0,75907.0,57574.0,,0.0,0.0,1831.97,10.99,,6017.0,-5431.0,-2421.0,,-19.0,4593.0,2225.0,,,2037.0,
6066,2003/6/30,INTL BUSINESS MACHINES CORP,,2003/7/16,2003.25,2003.25,459200101,51143,IBM,7370,10504,11,USA,45545.0,96938.0,70365.0,21631.0,21631.0,12512.0,5686.0,3433.0,2446.0,1725.0,,,,5809.0,-3308.0,-3131.0,280.0,,469.0,2882.0,39795.0,31511.0,3361.0,4873.0,18972.0,,,5821.0,25613.0,26573.0,26573.0,1705.0,2292.0,987.0,,1673.0,,180.0,14560.0,19882.0,1226.0,0.0,0.0,1730.181,82.5,,3656.0,-633.0,-2442.0,-25.0,,269.0,2242.0,1176.0,,1015.0,
1690,2003/9/30,APPLE INC,1980/12/12,2003/10/15,2003.5,2003.75,37833100,320193,AAPL,3663,95014,14,USA,4223.0,6815.0,2592.0,1715.0,1715.0,1230.0,425.0,60.0,31.0,41.0,,,,289.0,828.0,27.0,53.0,26.0,0.0,0.0,5887.0,2357.0,56.0,304.0,0.0,0.0,0.0,4566.0,950.0,4223.0,4223.0,44.0,113.0,29.0,,164.0,0.0,2.0,669.0,235.0,111.0,0.0,0.0,366.727,20.72,,73.0,-180.0,-4.0,22.0,26.0,0.0,0.0,20.0,,58.0,0.0
4839,2003/9/30,FORD MOTOR CO,,2003/10/16,2003.5,2003.5,345370860,37996,F,3711,48126,11,USA,189015.0,310328.0,301549.0,36973.0,36973.0,30446.0,4630.0,,1897.0,220.0,14512.0,,,19543.0,-376.0,-4004.0,,43.0,17221.0,23862.0,,,10085.0,,180236.0,589.0,589.0,47055.0,111928.0,8190.0,8190.0,-25.0,,,,5839.0,,1914.0,75838.0,56946.0,,0.0,0.0,1831.043,10.77,,5721.0,2663.0,1760.0,,40.0,8676.0,10919.0,,,2306.0,
6066,2003/9/30,INTL BUSINESS MACHINES CORP,,2003/10/15,2003.5,2003.5,459200101,51143,IBM,7370,10504,11,USA,44415.0,97190.0,69864.0,21522.0,21522.0,12603.0,5610.0,3309.0,2327.0,1785.0,,,,9653.0,-4516.0,-5270.0,,620.0,1298.0,5220.0,40566.0,32596.0,3282.0,5935.0,17089.0,,,6171.0,26230.0,27326.0,27326.0,1785.0,3469.0,982.0,,2443.0,,160.0,14489.0,20179.0,1307.0,0.0,0.0,1720.424,88.33,,3844.0,-1208.0,-2139.0,,,829.0,2338.0,1177.0,,770.0,
1690,2004/12/31,APPLE INC,1980/12/12,2005/1/12,2004.75,2005.0,37833100,320193,AAPL,3663,95014,14,USA,5790.0,9362.0,3572.0,3490.0,3490.0,2453.0,593.0,444.0,403.0,295.0,122.0,,,775.0,-1523.0,254.0,254.0,0.0,0.0,0.0,8322.0,3224.0,156.0,0.0,0.0,0.0,0.0,6448.0,1197.0,5790.0,5790.0,295.0,41.0,41.0,,58.0,0.0,0.0,735.0,226.0,123.0,0.0,0.0,404.54900000000004,64.4,,775.0,-1523.0,254.0,254.0,0.0,0.0,0.0,41.0,,58.0,0.0
4839,2004/12/31,FORD MOTOR CO,,2005/1/20,2004.75,2004.75,345370860,37996,F,3711,48126,11,USA,123462.0,292654.0,275732.0,44929.0,44929.0,35621.0,5165.0,4143.0,884.0,64.0,6171.0,,,24514.0,-14851.0,-9865.0,,151.0,22223.0,36021.0,,,10766.0,66433.0,106540.0,877.0,877.0,33420.0,116720.0,16045.0,16045.0,104.0,13052.0,3259.0,,6745.0,,1635.0,76314.0,43912.0,7400.0,0.0,0.0,1830.9,14.64,,6551.0,-6477.0,4068.0,,24.0,9679.0,1531.0,,,1843.0,
6066,2004/12/31,INTL BUSINESS MACHINES CORP,,2005/1/18,2004.75,2004.75,459200101,51143,IBM,7370,10504,11,USA,44575.0,109183.0,79436.0,27671.0,27671.0,15784.0,6828.0,5059.0,4021.0,2842.0,1879.0,,,15323.0,-5346.0,-7619.0,,5418.0,2438.0,4538.0,46970.0,39798.0,3316.0,8099.0,14828.0,,,10570.0,28136.0,29747.0,29747.0,2827.0,4915.0,1038.0,,4368.0,1311.0,146.0,15175.0,22931.0,1514.0,0.0,0.0,1645.592,98.58,,4047.0,-1627.0,-1947.0,,2210.0,1345.0,604.0,1445.0,,2121.0,
1690,2004/3/31,APPLE INC,1980/12/12,2004/4/14,2004.0,2004.25,37833100,320193,AAPL,3663,95014,14,USA,4490.0,6735.0,2245.0,1909.0,1909.0,1343.0,468.0,98.0,62.0,46.0,,,,280.0,-326.0,-192.0,108.0,0.0,0.0,300.0,5784.0,1980.0,63.0,0.0,0.0,0.0,0.0,4594.0,758.0,4490.0,4490.0,46.0,69.0,36.0,,79.0,0.0,1.0,687.0,265.0,123.0,0.0,0.0,372.855,27.04,,61.0,-403.0,-224.0,76.0,0.0,0.0,300.0,36.0,,35.0,0.0
4839,2004/3/31,FORD MOTOR CO,,2004/4/21,2004.0,2004.0,345370860,37996,F,3711,48126,11,USA,185068.0,300079.0,286457.0,44723.0,44723.0,32454.0,4443.0,7826.0,4497.0,1959.0,5885.0,,,7038.0,-2652.0,-7893.0,,60.0,4491.0,16868.0,,,10193.0,,171446.0,740.0,740.0,35939.0,112887.0,12882.0,12882.0,1952.0,,3329.0,,1280.0,,1835.0,74092.0,52800.0,,0.0,0.0,1830.8429999999998,13.57,,7038.0,-2652.0,-7893.0,,60.0,4491.0,16868.0,,,1280.0,
6066,2004/3/31,INTL BUSINESS MACHINES CORP,,2004/4/15,2004.0,2004.0,459200101,51143,IBM,7370,10504,11,USA,44283.0,101825.0,73640.0,22175.0,22175.0,13177.0,6074.0,2924.0,1926.0,1364.0,,,,3592.0,-1707.0,-1710.0,,1246.0,153.0,148.0,42619.0,35385.0,3049.0,7568.0,16098.0,,,8501.0,25549.0,28185.0,28185.0,1363.0,1182.0,998.0,,771.0,,143.0,14612.0,22157.0,1416.0,0.0,0.0,1685.371,91.84,,3592.0,-1707.0,-1710.0,,1246.0,153.0,148.0,1182.0,,771.0,
1690,2004/6/30,APPLE INC,1980/12/12,2004/7/14,2004.25,2004.5,37833100,320193,AAPL,3663,95014,14,USA,4812.0,7223.0,2411.0,2014.0,2014.0,1414.0,479.0,121.0,80.0,61.0,,,,491.0,-786.0,19.0,319.0,0.0,0.0,300.0,6286.0,2155.0,72.0,0.0,0.0,0.0,0.0,4966.0,852.0,4812.0,4812.0,61.0,110.0,41.0,,117.0,0.0,0.0,684.0,256.0,125.0,0.0,0.0,385.19199999999995,32.54,,211.0,-460.0,211.0,211.0,0.0,0.0,0.0,41.0,,38.0,0.0
4839,2004/6/30,FORD MOTOR CO,,2004/7/20,2004.25,2004.25,345370860,37996,F,3711,48126,11,USA,182447.0,293613.0,279267.0,42873.0,42873.0,32024.0,4435.0,6414.0,3155.0,1152.0,4836.0,,,13019.0,-10364.0,-8632.0,,101.0,7831.0,24401.0,,,10614.0,,168101.0,785.0,785.0,32502.0,111475.0,13561.0,13561.0,1165.0,,3259.0,,2790.0,,1734.0,74737.0,51678.0,,0.0,0.0,1829.787,15.65,,5981.0,-7712.0,-739.0,,41.0,3340.0,7533.0,,,1510.0,
6066,2004/6/30,INTL BUSINESS MACHINES CORP,,2004/7/15,2004.25,2004.25,459200101,51143,IBM,7370,10504,11,USA,43251.0,99582.0,70752.0,23098.0,23098.0,13645.0,6296.0,3157.0,2215.0,1737.0,,,,7405.0,-2639.0,-4220.0,,2223.0,1093.0,2159.0,41409.0,34357.0,3182.0,7505.0,14421.0,,,8193.0,24661.0,28830.0,28830.0,1735.0,2309.0,942.0,,1406.0,,141.0,14569.0,21974.0,1476.0,0.0,0.0,1675.192,88.15,,3813.0,-932.0,-2510.0,,977.0,940.0,2011.0,1127.0,,635.0,
1690,2004/9/30,APPLE INC,1980/12/12,2004/10/13,2004.5,2004.75,37833100,320193,AAPL,3663,95014,14,USA,5076.0,8050.0,2974.0,2350.0,2350.0,1676.0,501.0,173.0,133.0,106.0,,,,934.0,-1488.0,127.0,427.0,0.0,0.0,300.0,7055.0,2680.0,101.0,0.0,0.0,0.0,0.0,5464.0,1050.0,5076.0,5076.0,106.0,150.0,40.0,,176.0,0.0,0.0,707.0,294.0,122.0,0.0,0.0,391.444,38.75,,443.0,-702.0,108.0,108.0,0.0,0.0,0.0,40.0,,59.0,0.0
4839,2004/9/30,FORD MOTOR CO,,2004/10/19,2004.5,2004.5,345370860,37996,F,3711,48126,11,USA,179589.0,288678.0,273796.0,39121.0,39121.0,29356.0,4452.0,5313.0,2145.0,459.0,5058.0,,,17963.0,-8374.0,-13933.0,,127.0,12544.0,34490.0,,,10981.0,,164707.0,813.0,813.0,30068.0,115351.0,14069.0,14069.0,266.0,,3168.0,,4902.0,,1867.0,74689.0,49783.0,,0.0,0.0,1829.668,14.05,,4944.0,1990.0,-5301.0,,26.0,4713.0,10089.0,,,2112.0,
6066,2004/9/30,INTL BUSINESS MACHINES CORP,,2004/10/18,2004.5,2004.5,459200101,51143,IBM,7370,10504,11,USA,43226.0,100676.0,70974.0,23349.0,23349.0,13731.0,6310.0,3308.0,2327.0,1554.0,,,,11276.0,-3719.0,-5672.0,,3208.0,1093.0,3934.0,42430.0,35167.0,3331.0,8427.0,13524.0,,,9671.0,23990.0,29702.0,29702.0,1554.0,3470.0,981.0,,2247.0,,141.0,14608.0,22283.0,1468.0,0.0,0.0,1664.6970000000001,85.74,,3871.0,-1080.0,-1452.0,,985.0,0.0,1775.0,1161.0,,841.0,
1690,2005/12/31,APPLE INC,1980/12/12,2006/1/18,2005.75,2006.0,37833100,320193,AAPL,3663,95014,14,USA,8380.0,14181.0,5801.0,5749.0,5749.0,4133.0,814.0,802.0,750.0,565.0,430.0,,,283.0,93.0,283.0,134.0,0.0,0.0,0.0,12162.0,5060.0,244.0,0.0,0.0,0.0,0.0,8707.0,2413.0,8380.0,8380.0,565.0,52.0,52.0,,82.0,0.0,0.0,855.0,311.0,182.0,0.0,0.0,845.617,71.89,,283.0,93.0,283.0,134.0,0.0,0.0,0.0,52.0,,82.0,0.0
4839,2005/12/31,FORD MOTOR CO,,2006/1/23,2005.75,2005.75,345370860,37996,F,3711,48126,11,USA,107727.0,269459.0,254895.0,46325.0,46325.0,36067.0,5311.0,4947.0,613.0,175.0,5660.0,,,20441.0,5755.0,-20800.0,325.0,,24559.0,36080.0,,,10271.0,60115.0,93163.0,1122.0,1122.0,41837.0,114511.0,13442.0,13442.0,-74.0,14066.0,4334.0,,7517.0,,2130.0,67776.0,44218.0,8000.0,0.0,0.0,1864.138,7.72,,338.0,2790.0,-3477.0,75.0,,4322.0,5004.0,,,2055.0,
6066,2005/12/31,INTL BUSINESS MACHINES CORP,,2006/1/17,2005.75,2005.75,459200101,51143,IBM,7370,10504,11,USA,48523.0,105748.0,72650.0,24427.0,24427.0,12213.0,6448.0,5766.0,4437.0,3220.0,1616.0,,,14874.0,-4423.0,-7147.0,,6506.0,4363.0,3522.0,45661.0,35152.0,2841.0,7216.0,15425.0,,,13686.0,24428.0,33098.0,33098.0,3187.0,5188.0,1329.0,,3842.0,1107.0,189.0,13756.0,20457.0,1459.0,0.0,0.0,1573.98,82.2,,5388.0,-1431.0,496.0,,628.0,127.0,258.0,1329.0,,1387.0,
1690,2005/3/31,APPLE INC,1980/12/12,2005/4/13,2005.0,2005.25,37833100,320193,AAPL,3663,95014,14,USA,6386.0,10111.0,3725.0,3243.0,3243.0,2235.0,570.0,438.0,397.0,286.0,132.0,,,1311.0,-2432.0,406.0,406.0,0.0,0.0,0.0,9007.0,3352.0,164.0,0.0,0.0,0.0,0.0,7057.0,1242.0,6386.0,6386.0,286.0,82.0,41.0,,101.0,0.0,0.0,742.0,241.0,120.0,0.0,0.0,823.137,41.67,,536.0,-909.0,152.0,152.0,0.0,0.0,0.0,41.0,,43.0,0.0
4839,2005/3/31,FORD MOTOR CO,,2005/4/20,2005.0,2005.0,345370860,37996,F,3711,48126,11,USA,177778.0,280588.0,264072.0,44895.0,44895.0,33868.0,4765.0,6262.0,3023.0,840.0,3864.0,,,5176.0,4224.0,-9428.0,,14.0,5522.0,14312.0,,,11482.0,,161262.0,846.0,846.0,33394.0,109082.0,15670.0,15670.0,875.0,,3239.0,,1561.0,,2211.0,75870.0,43385.0,,0.0,0.0,1840.3529999999998,11.33,,5176.0,4224.0,-9428.0,,14.0,5522.0,14312.0,,,1561.0,
6066,2005/3/31,INTL BUSINESS MACHINES CORP,,2005/4/14,2005.0,2005.0,459200101,51143,IBM,7370,10504,11,USA,47003.0,104899.0,74979.0,22908.0,22908.0,13245.0,6392.0,3271.0,1989.0,1407.0,,,,2078.0,-680.0,-2587.0,,3154.0,2430.0,1649.0,41343.0,33822.0,3417.0,6329.0,17083.0,,,8651.0,24579.0,29920.0,29920.0,1402.0,1282.0,1282.0,,749.0,,179.0,14708.0,24074.0,1459.0,0.0,0.0,1613.3210000000001,91.38,,2078.0,-680.0,-2587.0,,3154.0,2430.0,1649.0,1282.0,,749.0,
