date,TICKER,quantity
1981-02-27,AAPL,1.000000
1981-02-27,F,1.000000
1981-03-02,AAPL,1.000000
1981-03-02,F,1.000000
1981-03-03,AAPL,1.000000
1981-03-03,F,1.000000
1981-03-04,AAPL,1.000000
1981-03-04,F,1.000000
1981-03-05,AAPL,1.000000
1981-03-05,F,1.000000
1981-03-06,AAPL,1.000000
1981-03-06,F,1.000000
1981-03-09,AAPL,1.000000
1981-03-09,F,1.000000
1981-03-10,AAPL,1.000000
1981-03-10,F,1.000000
1981-03-11,AAPL,-8.000000
1981-03-11,F,1.000000
1981-03-12,F,1.000000
1981-03-13,F,1.000000
1981-03-16,F,1.000000
1981-03-17,F,1.000000
1981-03-18,F,1.000000
1981-03-19,F,1.000000
1981-03-20,F,1.000000
1981-03-23,F,1.000000
1981-03-24,F,1.000000
1981-03-25,F,1.000000
1981-03-26,F,1.000000
1981-03-27,F,1.000000
1981-03-30,F,1.000000
1981-03-31,F,1.000000
1981-04-01,F,1.000000
1981-04-02,F,1.000000
1981-04-03,F,1.000000
1981-04-06,F,1.000000
1981-04-07,F,1.000000
1981-04-08,F,1.000000
1981-04-09,F,1.000000
1981-04-10,F,1.000000
1981-04-13,F,1.000000
1981-04-14,F,1.000000
1981-04-15,F,1.000000
1981-04-16,F,1.000000
1981-04-20,F,1.000000
1981-04-21,F,1.000000
1981-04-22,F,1.000000
1981-04-23,F,1.000000
1981-04-24,F,1.000000
1981-04-27,F,1.000000
1981-04-28,F,1.000000
1981-04-29,F,1.000000
1981-04-30,F,1.000000
1981-05-01,F,1.000000
1981-05-04,F,1.000000
1981-05-05,F,1.000000
1981-05-06,F,1.000000
1981-05-07,F,1.000000
1981-05-08,F,1.000000
1981-05-11,F,1.000000
1981-05-12,F,1.000000
1981-05-13,F,1.000000
1981-05-14,F,1.000000
1981-05-15,F,1.000000
1981-05-18,F,1.000000
1981-05-19,F,1.000000
1981-05-20,F,1.000000
1981-05-21,F,1.000000
1981-05-22,F,1.000000
1981-05-26,F,1.000000
1981-05-27,F,1.000000
1981-05-28,F,1.000000
1981-05-29,F,1.000000
1981-06-01,F,1.000000
1981-06-02,F,1.000000
1981-06-03,F,1.000000
1981-06-04,F,1.000000
1981-06-05,F,1.000000
1981-06-08,F,1.000000
1981-06-09,AAPL,1.000000
1981-06-09,F,1.000000
1981-06-10,AAPL,1.000000
1981-06-10,F,1.000000
1981-06-11,AAPL,1.000000
1981-06-11,F,1.000000
1981-06-12,AAPL,1.000000
1981-06-12,F,1.000000
1981-06-15,AAPL,1.000000
1981-06-15,F,1.000000
1981-06-16,AAPL,1.000000
1981-06-16,F,1.000000
1981-06-17,AAPL,1.000000
1981-06-17,F,1.000000
1981-06-18,AAPL,1.000000
1981-06-18,F,1.000000
1981-06-19,AAPL,1.000000
1981-06-19,F,1.000000
1981-06-22,AAPL,1.000000
1981-06-22,F,1.000000
1981-06-23,AAPL,1.000000
1981-06-23,F,1.000000
1981-06-24,AAPL,1.000000
1981-06-24,F,1.000000
1981-06-25,AAPL,1.000000
1981-06-25,F,1.000000
1981-06-26,AAPL,1.000000
1981-06-26,F,1.000000
1981-06-29,AAPL,1.000000
1981-06-29,F,1.000000
1981-06-30,AAPL,1.000000
1981-06-30,F,1.000000
1981-07-01,AAPL,1.000000
1981-07-01,F,1.000000
1981-07-02,AAPL,1.000000
1981-07-02,F,1.000000
1981-07-06,AAPL,1.000000
1981-07-06,F,1.000000
1981-07-07,AAPL,1.000000
1981-07-07,F,1.000000
1981-07-08,AAPL,1.000000
1981-07-08,F,1.000000
1981-07-09,AAPL,1.000000
1981-07-09,F,1.000000
1981-07-10,AAPL,1.000000
1981-07-10,F,1.000000
1981-07-13,AAPL,1.000000
1981-07-13,F,1.000000
1981-07-14,AAPL,1.000000
1981-07-14,F,1.000000
1981-07-15,AAPL,1.000000
1981-07-15,F,1.000000
1981-07-16,AAPL,1.000000
1981-07-16,F,1.000000
1981-07-17,AAPL,1.000000
1981-07-17,F,1.000000
1981-07-20,AAPL,1.000000
1981-07-20,F,1.000000
1981-07-21,AAPL,1.000000
1981-07-21,F,1.000000
1981-07-22,AAPL,1.000000
1981-07-22,F,1.000000
1981-07-23,AAPL,1.000000
1981-07-23,F,1.000000
1981-07-24,AAPL,1.000000
1981-07-24,F,1.000000
1981-07-27,AAPL,1.000000
1981-07-27,F,1.000000
1981-07-28,AAPL,1.000000
1981-07-28,F,1.000000
1981-07-29,AAPL,1.000000
1981-07-29,F,1.000000
1981-07-30,AAPL,1.000000
1981-07-30,F,1.000000
1981-07-31,AAPL,1.000000
1981-07-31,F,1.000000
1981-08-03,AAPL,1.000000
1981-08-03,F,1.000000
1981-08-04,AAPL,1.000000
1981-08-04,F,1.000000
1981-08-05,AAPL,-40.000000
1981-08-05,F,1.000000
1981-08-06,F,1.000000
1981-08-07,F,1.000000
1981-08-10,F,1.000000
1981-08-11,F,1.000000
1981-08-12,F,1.000000
